Winner,Loser,Score,Rounds,Runtime
Assasin,AlternateCorner,14,65,49
HorizontalSym,AlternateCorner,1,84,46
HorizontalSym,AlternateCorner,1,84,57
Headshot,AlternateCorner,16,57,17
Headshot,Random,43,48,119
VerticalSym,Random,3,69,49
RMCQueenAI,Mob,40,22,23705
AlternateCorner,Mob,12,56,58
RMCQueenAI,UpClose,24,44,25634
Assasin,UpClose,0,50,43
DiagonalSym,Random,2,77,17
RMCQueenAI,AlternateCorner,14,49,19584
HorizontalSym,Corner,18,40,12
Headshot,AlternateCorner,16,57,52
Headshot,DiagonalSym,14,54,63
VerticalSym,HorizontalSym,6,72,12
Corner,Straight,9,66,12
Assasin,AlternateCorner,28,55,63
DiagonalSym,Corner,7,51,10
AlternateCorner,Straight,11,66,51
RMCQueenAI,Random,12,22,31194
RMCQueenAI,Corner,58,23,29382
Assasin,Mob,22,50,11
Headshot,DiagonalSym,51,39,122
UpClose,DiagonalSym,11,70,10
Straight,Random,6,75,16
RMCQueenAI,Mob,29,22,23041
HorizontalSym,VerticalSym,4,50,40
AlternateCorner,DiagonalSym,9,69,13
RMCQueenAI,Assasin,22,36,28026
Straight,AlternateCorner,3,66,50
Assasin,Mob,47,30,16
RMCQueenAI,AlternateCorner,18,52,19289
RMCQueenAI,HorizontalSym,11,29,27217
RMCQueenAI,Corner,58,23,29607
RMCQueenAI,Headshot,27,37,36571
Headshot,Corner,27,43,16
HorizontalSym,DiagonalSym,13,74,58
VerticalSym,Random,3,75,52
Headshot,DiagonalSym,51,39,85
UpClose,AlternateCorner,10,63,61
HorizontalSym,VerticalSym,0,76,45
Assasin,Straight,80,19,84
Assasin,AlternateCorner,14,63,15
Assasin,DiagonalSym,35,43,13
Mob,Straight,14,41,46
UpClose,HorizontalSym,20,36,6
AlternateCorner,Mob,0,77,26
AlternateCorner,Straight,6,77,50
Corner,Mob,8,56,14
VerticalSym,Random,1,69,13
AlternateCorner,Corner,2,61,48
AlternateCorner,DiagonalSym,18,54,48
Headshot,VerticalSym,34,53,60
Headshot,VerticalSym,34,53,63
Assasin,DiagonalSym,19,45,14
Corner,AlternateCorner,0,80,27
Headshot,AlternateCorner,16,57,50
DiagonalSym,VerticalSym,0,80,15
AlternateCorner,DiagonalSym,0,88,14
Mob,Corner,7,49,9
RMCQueenAI,VerticalSym,17,47,21920
HorizontalSym,Straight,6,74,14
Straight,Random,19,57,14
Headshot,Random,16,59,21
UpClose,VerticalSym,4,56,50
RMCQueenAI,Corner,46,22,33721
Headshot,AlternateCorner,21,52,48
Headshot,Straight,29,46,76
Headshot,VerticalSym,42,28,137
Assasin,Mob,29,39,12
VerticalSym,Mob,5,68,12
RMCQueenAI,Random,13,35,34714
Corner,Mob,5,59,9
VerticalSym,Mob,5,60,57
Straight,VerticalSym,2,75,15
DiagonalSym,Straight,11,62,48
Assasin,VerticalSym,40,40,17
DiagonalSym,Straight,6,57,14
RMCQueenAI,Mob,25,39,28968
UpClose,Straight,12,53,10
Assasin,VerticalSym,13,63,18
Assasin,VerticalSym,13,63,65
AlternateCorner,VerticalSym,13,59,14
Random,VerticalSym,3,71,12
Headshot,Straight,48,43,66
DiagonalSym,Corner,2,59,87
Mob,Random,2,73,49
Assasin,Straight,44,29,16
UpClose,Random,9,62,43
RMCQueenAI,Headshot,10,28,31525
Headshot,DiagonalSym,51,39,132
DiagonalSym,Random,3,68,15
Headshot,HorizontalSym,19,57,73
Headshot,VerticalSym,34,53,17
AlternateCorner,HorizontalSym,6,68,13
AlternateCorner,Corner,16,66,55
Headshot,DiagonalSym,51,39,88
Assasin,Random,16,54,50
Assasin,UpClose,8,66,14
DiagonalSym,Mob,4,66,13
DiagonalSym,Mob,4,73,12
Assasin,Straight,33,37,14
Headshot,Straight,55,32,83
DiagonalSym,UpClose,0,78,10
AlternateCorner,DiagonalSym,9,69,55
Headshot,Random,39,46,60
HorizontalSym,Straight,15,65,67
Headshot,HorizontalSym,24,50,53
Assasin,Corner,62,27,9
UpClose,Straight,15,38,7
HorizontalSym,Random,4,72,33
Straight,Mob,4,55,57
Assasin,DiagonalSym,3,60,22
Random,Mob,0,57,11
VerticalSym,Mob,6,55,10
Assasin,HorizontalSym,20,55,21
UpClose,Corner,24,54,43
Assasin,Corner,35,34,9
Assasin,AlternateCorner,16,52,50
AlternateCorner,HorizontalSym,8,68,46
Headshot,Random,40,41,121
DiagonalSym,UpClose,6,57,9
RMCQueenAI,AlternateCorner,18,52,19624
Assasin,Corner,62,27,42
DiagonalSym,HorizontalSym,16,48,14
AlternateCorner,Random,10,65,47
Straight,DiagonalSym,2,74,17
AlternateCorner,Corner,7,64,47
Headshot,Mob,35,30,15
HorizontalSym,Mob,5,62,10
Assasin,HorizontalSym,40,27,10
Headshot,Assasin,8,69,50
Straight,Corner,9,70,13
Random,DiagonalSym,2,78,13
Headshot,UpClose,0,87,50
Headshot,Straight,53,36,151
Assasin,DiagonalSym,32,35,9
Assasin,VerticalSym,22,60,18
AlternateCorner,DiagonalSym,9,69,14
HorizontalSym,Corner,7,63,13
AlternateCorner,Random,9,64,19
RMCQueenAI,Random,28,28,34861
Assasin,Straight,43,38,16
HorizontalSym,Mob,1,51,17
Mob,Straight,0,61,11
DiagonalSym,VerticalSym,18,65,13
RMCQueenAI,DiagonalSym,18,51,23394
RMCQueenAI,Headshot,10,28,31804
RMCQueenAI,AlternateCorner,14,49,19725
RMCQueenAI,Straight,33,27,38382
AlternateCorner,Corner,4,74,47
UpClose,HorizontalSym,18,55,9
RMCQueenAI,Corner,50,27,28076
Headshot,HorizontalSym,19,57,82
AlternateCorner,Mob,3,65,46
AlternateCorner,HorizontalSym,0,82,59
RMCQueenAI,DiagonalSym,33,36,20874
AlternateCorner,Mob,30,35,43
HorizontalSym,UpClose,6,71,12
Mob,DiagonalSym,4,51,42
RMCQueenAI,AlternateCorner,14,49,19909
UpClose,Mob,12,40,6
DiagonalSym,Mob,4,60,11
UpClose,AlternateCorner,10,63,12
AlternateCorner,Mob,9,62,46
UpClose,Corner,34,44,8
RMCQueenAI,AlternateCorner,14,49,19702
VerticalSym,UpClose,3,72,11
Straight,HorizontalSym,5,65,57
Random,DiagonalSym,2,80,49
HorizontalSym,Mob,5,63,11
VerticalSym,Corner,0,67,14
RMCQueenAI,Random,30,25,32382
UpClose,Mob,22,40,8
Assasin,Mob,26,48,18
Random,Mob,20,57,14
Straight,VerticalSym,1,76,14
VerticalSym,Straight,2,65,69
Assasin,Corner,44,32,12
Assasin,Mob,22,30,58
HorizontalSym,Corner,11,62,48
HorizontalSym,Straight,5,59,54
UpClose,AlternateCorner,10,63,44
Random,Mob,0,61,14
Assasin,DiagonalSym,5,62,18
Random,HorizontalSym,5,65,27
Random,HorizontalSym,1,72,12
Assasin,Straight,34,57,141
Random,DiagonalSym,6,69,59
UpClose,Corner,9,72,45
VerticalSym,DiagonalSym,2,87,16
Assasin,HorizontalSym,33,43,80
UpClose,Mob,10,70,72
AlternateCorner,Corner,16,67,51
Headshot,Corner,39,29,60
Headshot,HorizontalSym,19,57,85
AlternateCorner,UpClose,12,67,10
Assasin,Random,57,31,21
Assasin,DiagonalSym,10,55,15
RMCQueenAI,Corner,46,24,24248
RMCQueenAI,Assasin,50,23,27689
Assasin,HorizontalSym,2,78,51
UpClose,DiagonalSym,7,78,58
AlternateCorner,Straight,11,67,15
Headshot,Assasin,7,65,20
Headshot,DiagonalSym,21,52,54
AlternateCorner,HorizontalSym,0,78,47
Headshot,UpClose,14,48,21
Assasin,AlternateCorner,14,64,52
Assasin,HorizontalSym,10,66,22
UpClose,Random,5,79,58
